S No.,Value Date,Transaction Date,Withdrawal Amount(INR),Deposit Amount(INR),Balance(INR),
362,"04,07,2025","04,07,2025",151.00,0.00,943209.11,
363,"05,07,2025","05,07,2025",120.00,0.00,943089.11,
364,"05,07,2025","05,07,2025",120.00,0.00,942969.11,
365,"05,07,2025","05,07,2025",10.00,0.00,942959.11,
366,"05,07,2025","05,07,2025",173.00,0.00,942786.11,
367,"05,07,2025","05,07,2025",2500.00,0.00,940286.11,
368,"05,07,2025","05,07,2025",145.00,0.00,940141.11,
369,"06,07,2025","06,07,2025",210.00,0.00,939931.11,
370,"06,07,2025","06,07,2025",110.00,0.00,939821.11,
371,"06,07,2025","06,07,2025",500.00,0.00,939321.11,
372,"07,07,2025","07,07,2025",145.00,0.00,939176.11,
373,"08,07,2025","08,07,2025",206.00,0.00,938970.11,
374,"08,07,2025","08,07,2025",115.00,0.00,938855.11,
375,"09,07,2025","09,07,2025",140.00,0.00,938715.11,
376,"09,07,2025","09,07,2025",115.00,0.00,938600.11,
377,"10,07,2025","10,07,2025",75.00,0.00,938525.11,
378,"10,07,2025","10,07,2025",18.00,0.00,938507.11,
379,"10,07,2025","10,07,2025",990.85,0.00,937516.26,
380,"10,07,2025","10,07,2025",300.80,0.00,937215.46,
381,"10,07,2025","10,07,2025",733.00,0.00,936482.46,
382,"11,07,2025","11,07,2025",0.00,200.00,936682.46,
383,"12,07,2025","12,07,2025",1500.00,0.00,935182.46,
384,"13,07,2025","13,07,2025",3000.00,0.00,932182.46,
385,"14,07,2025","14,07,2025",165.00,0.00,932017.46,
386,"14,07,2025","14,07,2025",70.00,0.00,931947.46,
387,"14,07,2025","14,07,2025",120.00,0.00,931827.46,
388,"15,07,2025","15,07,2025",902.00,0.00,930925.46,
389,"18,07,2025","18,07,2025",0.00,1.00,930926.46,
390,"18,07,2025","18,07,2025",0.00,1.00,930927.46,
391,"19,07,2025","19,07,2025",862.00,0.00,930065.46,
392,"19,07,2025","19,07,2025",3000.00,0.00,927065.46,
393,"20,07,2025","20,07,2025",100.00,0.00,926965.46,
394,"26,07,2025","26,07,2025",1808.00,0.00,925157.46,
395,"27,07,2025","27,07,2025",0.00,335.00,925492.46,
396,"28,07,2025","28,07,2025",100.00,0.00,925392.46,
397,"28,07,2025","28,07,2025",220000.00,0.00,705392.46,
398,"29,07,2025","29,07,2025",365.00,0.00,705027.46,
399,"30,07,2025","30,07,2025",2000.00,0.00,703027.46,
400,"30,07,2025","30,07,2025",100.00,0.00,702927.46,
401,"30,07,2025","30,07,2025",0.00,118955.00,821882.46,
402,"31,07,2025","31,07,2025",110.00,0.00,821772.46,
403,"31,07,2025","31,07,2025",1280.00,0.00,820492.46,
404,"01,08,2025","01,08,2025",226.00,0.00,820266.46,
,,,,,,
405,"01,08,2025","01,08,2025",2020.00,0.00,818246.46,
406,"01,08,2025","01,08,2025",7385.00,0.00,810861.46,
407,"01,08,2025","01,08,2025",300.00,0.00,810561.46,
408,"01,08,2025","01,08,2025",4000.00,0.00,806561.46,
409,"01,08,2025","01,08,2025",100.00,0.00,806461.46,
410,"01,08,2025","01,08,2025",200.00,0.00,806261.46,
411,"02,08,2025","02,08,2025",170.00,0.00,806091.46,
412,"02,08,2025","02,08,2025",310.00,0.00,805781.46,
413,"02,08,2025","02,08,2025",20.00,0.00,805761.46,
414,"02,08,2025","02,08,2025",599.00,0.00,805162.46,
415,"02,08,2025","02,08,2025",1000.00,0.00,804162.46,
416,"03,08,2025","03,08,2025",266.00,0.00,803896.46,
417,"04,08,2025","04,08,2025",40.00,0.00,803856.46,
418,"04,08,2025","04,08,2025",130.00,0.00,803726.46,
419,"04,08,2025","04,08,2025",36.75,0.00,803689.71,
420,"04,08,2025","04,08,2025",500.00,0.00,803189.71,
421,"05,08,2025","05,08,2025",130.00,0.00,803059.71,
422,"05,08,2025","05,08,2025",94.00,0.00,802965.71,
423,"05,08,2025","05,08,2025",60.00,0.00,802905.71,
424,"05,08,2025","05,08,2025",108.00,0.00,802797.71,
425,"05,08,2025","05,08,2025",35.00,0.00,802762.71,
426,"05,08,2025","05,08,2025",20000.00,0.00,782762.71,
427,"06,08,2025","06,08,2025",0.00,94.00,782856.71,
428,"06,08,2025","06,08,2025",120.00,0.00,782736.71,
429,"06,08,2025","06,08,2025",60.00,0.00,782676.71,
430,"06,08,2025","06,08,2025",130.00,0.00,782546.71,
431,"06,08,2025","06,08,2025",124.61,0.00,782422.10,
432,"07,08,2025","07,08,2025",120.00,0.00,782302.10,
433,"07,08,2025","07,08,2025",60.00,0.00,782242.10,
434,"07,08,2025","07,08,2025",130.00,0.00,782112.10,
435,"07,08,2025","07,08,2025",130.00,0.00,781982.10,
436,"08,08,2025","08,08,2025",0.00,130.00,782112.10,
437,"08,08,2025","08,08,2025",90.00,0.00,782022.10,
438,"09,08,2025","09,08,2025",80.00,0.00,781942.10,
